scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,amc_name,rating,sub_category,returns_1yr,Average_Returns,risk_level_2,risk_level_3,risk_level_4,risk_level_5,risk_level_6,category_Equity,category_Hybrid,category_Other,category_Solution Oriented
Aditya Birla SL Digital India Fund,100,1000,0.88,3338.0,10,Kunal Sangoi,2.42,9.37,21.12,0.83,1.53,Aditya Birla Sun Life Mutual Fund,0,Sectoral / Thematic Mutual Funds,-14.6,15.433333333333332,False,False,False,False,True,True,False,False,False
Aditya Birla SL Dividend Yield Fund,1000,1000,1.73,850.0,10,Dhaval Gala,3.78,5.04,15.77,0.85,1.58,Aditya Birla Sun Life Mutual Fund,0,Dividend Yield Funds,6.2,15.566666666666668,False,False,False,False,True,True,False,False,False
Aditya Birla SL Dynamic Bond Fund,1000,1000,0.64,1795.0,10,Mohit Sharma,1.78,3.02,3.22,0.91,1.02,Aditya Birla Sun Life Mutual Fund,5,Dynamic Bond,7.5,7.166666666666667,False,True,False,False,False,False,False,False,False
Aditya Birla SL Equity Advantage Fund,1000,1000,1.14,4836.0,10,Atul Penkar,2.21,-2.06,17.61,0.98,1.16,Aditya Birla Sun Life Mutual Fund,1,Large & Mid Cap Funds,-9.9,6.766666666666667,False,False,False,False,True,True,False,False,False
Aditya Birla SL Equity Hybrid ’95 Fund,100,100,1.01,7046.0,10,Mahesh Patil,2.54,1.43,12.84,0.85,1.33,Aditya Birla Sun Life Mutual Fund,2,Aggressive Hybrid Mutual Funds,-5.7,7.466666666666666,False,False,False,False,True,False,True,False,False
Aditya Birla SL Equity Savings Fund,1000,1000,1.21,451.0,8,Dhaval Shah,2.55,1.11,6.83,0.99,1.2,Aditya Birla Sun Life Mutual Fund,2,Equity Savings Mutual Funds,0.8,6.466666666666666,False,False,True,False,False,False,True,False,False
Aditya Birla SL Flexi Cap Fund,100,100,0.86,15449.0,10,Anil Shah,3.4,-1.46,16.6,0.96,1.27,Aditya Birla Sun Life Mutual Fund,3,Flexi Cap Funds,-2.1,11.1,False,False,False,False,True,True,False,False,False
Aditya Birla SL Floating Rate Fund,1000,1000,0.23,12364.0,10,Kaustubh Gupta,2.81,3.73,1.14,1.37,1.66,Aditya Birla Sun Life Mutual Fund,5,Floater Mutual Funds,5.8,6.333333333333333,True,False,False,False,False,False,False,False,False
Aditya Birla SL Focused Equity Fund,1000,1000,1.06,5633.0,10,Mahesh Patil,3.24,-1.14,16.09,0.95,1.26,Aditya Birla Sun Life Mutual Fund,3,Focused Funds,-0.7,11.333333333333334,False,False,False,False,True,True,False,False,False
Aditya Birla SL FP FoF – Aggressive – Direct Growth,100,100,0.22,159.0,10,Vinod Narayan Bhat,3.13,1.65,11.73,0.8,1.4,Aditya Birla Sun Life Mutual Fund,3,FoFs Domestic,2.5,11.633333333333333,False,False,False,False,True,False,False,True,False
Aditya Birla SL FP FoF – Conservative – Direct Growth,100,100,0.34,14.0,10,Vinod Narayan Bhat,3.82,1.94,5.49,0.36,1.57,Aditya Birla Sun Life Mutual Fund,4,FoFs Domestic,4.7,8.733333333333333,False,False,True,False,False,False,False,True,False
Aditya Birla SL FP FoF – Moderate – Direct Growth,100,100,0.36,28.0,10,Vinod Narayan Bhat,3.09,1.69,8.56,0.58,1.44,Aditya Birla Sun Life Mutual Fund,3,FoFs Domestic,3.7,10.133333333333333,False,False,False,True,False,False,False,True,False
Aditya Birla SL Frontline Equity Fund,100,100,1.03,21131.0,10,Mahesh Patil,3.36,0.76,16.02,0.95,1.39,Aditya Birla Sun Life Mutual Fund,3,Large Cap Mutual Funds,1.6,12.833333333333334,False,False,False,False,True,True,False,False,False
Aditya Birla SL Global Emerging Oppt Fund,100,100,0.7,261.0,10,Vinod Narayan Bhat,0.98,-,16.64,-,0.7,Aditya Birla Sun Life Mutual Fund,0,FoFs Overseas,-5.7,7.133333333333334,False,False,False,False,True,False,False,True,False
Aditya Birla SL Gold Fund,100,100,0.15,278.0,10,Lovelish Solanki,1.07,-0.57,13.89,0.97,0.45,Aditya Birla Sun Life Mutual Fund,2,FoFs Domestic,11.8,12.366666666666665,False,False,False,True,False,False,False,True,False
Aditya Birla SL Govt Securities Fund,1000,1000,0.29,1351.0,10,Bhupesh Bameta,0.71,1.09,3.35,0.73,0.57,Aditya Birla Sun Life Mutual Fund,3,Gilt Mutual Funds,3.6,5.866666666666667,False,True,False,False,False,False,False,False,False
Aditya Birla SL Income Fund,1000,5000,0.49,1496.0,10,Bhupesh Bameta,0.88,1.69,3.29,1.51,0.64,Aditya Birla Sun Life Mutual Fund,4,Medium to Long Duration Funds,3.5,6.1000000000000005,False,True,False,False,False,False,False,False,False
Aditya Birla SL India GenNext Fund,1000,1000,0.82,3217.0,10,Chanchal Khandelwal,3.73,3.33,14.93,0.79,1.43,Aditya Birla Sun Life Mutual Fund,3,Sectoral / Thematic Mutual Funds,4.6,14.300000000000002,False,False,False,False,True,True,False,False,False
Aditya Birla SL Infrastructure Fund,1000,1000,1.7,562.0,10,Mahesh Patil,3.3,4.38,22.52,0.85,1.4,Aditya Birla Sun Life Mutual Fund,2,Sectoral / Thematic Mutual Funds,13.5,19.433333333333334,False,False,False,False,True,True,False,False,False
Aditya Birla SL Inter Equity – Plan A-Direct Growth,1000,1000,1.75,108.0,10,Vinod Narayan Bhat,1.28,-,13.99,-,0.81,Aditya Birla Sun Life Mutual Fund,0,Sectoral / Thematic Mutual Funds,0.9,9.666666666666666,False,False,False,False,True,True,False,False,False
Aditya Birla SL Inter Equity – Plan B-Direct Growth,1000,1000,2.15,90.0,10,Vinod Narayan Bhat,2.45,-1.93,16.3,0.87,1.14,Aditya Birla Sun Life Mutual Fund,0,Sectoral / Thematic Mutual Funds,-4.1,8.733333333333334,False,False,False,False,True,True,False,False,False
Aditya Birla SL Liquid Fund,500,500,0.21,28071.0,10,Kaustubh Gupta,5.28,1.49,0.39,0.8,1.06,Aditya Birla Sun Life Mutual Fund,4,Liquid Mutual Funds,5.7,5.166666666666667,False,True,False,False,False,False,False,False,False
Aditya Birla SL Low Duration Fund,100,100,0.39,10035.0,10,Mohit Sharma,4.76,3.33,0.97,1,2.05,Aditya Birla Sun Life Mutual Fund,4,Low Duration Funds,5.7,6.3999999999999995,False,True,False,False,False,False,False,False,False
Aditya Birla SL Manufacturing Equity Fund,1000,1000,1.56,613.0,8,Anil Shah,2.43,-1.7,15.05,0.83,1.18,Aditya Birla Sun Life Mutual Fund,0,Sectoral / Thematic Mutual Funds,-2.9,8.533333333333333,False,False,False,False,True,True,False,False,False
Aditya Birla SL Medium Term Plan – Direct Growth,1000,1000,0.86,1652.0,10,Sunaina da Cunha,2.29,9.65,10.73,1.12,0.93,Aditya Birla Sun Life Mutual Fund,5,Medium Duration Funds,22.1,15.066666666666668,False,False,True,False,False,False,False,False,False
Aditya Birla SL Midcap Fund,1000,1000,1.2,3436.0,10,Anil Shah,3.11,-0.81,16.52,0.89,1.54,Aditya Birla Sun Life Mutual Fund,1,Mid Cap Mutual Funds,-3.6,10.9,False,False,False,False,True,True,False,False,False
Aditya Birla SL Money Manager Fund,1000,1000,0.21,13095.0,10,Mohit Sharma,4.58,3.06,0.68,1.31,1.94,Aditya Birla Sun Life Mutual Fund,4,Money Market Funds,5.6,5.866666666666667,False,True,False,False,False,False,False,False,False
Aditya Birla SL Nifty 50 Index Fund,1000,100,0.32,494.0,10,Lovelish Solanki,3.42,-0.87,16.65,0.99,1.29,Aditya Birla Sun Life Mutual Fund,3,Index Funds,0.7,12.6,False,False,False,False,True,False,False,True,False
Aditya Birla SL Overnight Fund,0,5000,0.07,13399.0,4,Kaustubh Gupta,0.11,0.58,0.35,0.43,0.02,Aditya Birla Sun Life Mutual Fund,3,Overnight Mutual Funds,5.4,4.65,False,False,False,False,False,False,False,False,False
Aditya Birla SL Pure Value Fund,1000,1000,1.12,3798.0,10,Kunal Sangoi,2.31,3.41,18.83,0.99,1.36,Aditya Birla Sun Life Mutual Fund,1,Value Funds,3.0,12.366666666666665,False,False,False,False,True,True,False,False,False
Aditya Birla SL Regular Savings Fund,500,500,0.92,1585.0,10,Dhaval Shah,3.88,5.71,4.8,0.6,2.08,Aditya Birla Sun Life Mutual Fund,3,Conservative Hybrid Mutual Funds,3.6,8.366666666666667,False,False,True,False,False,False,True,False,False
Aditya Birla SL Retirement-The 30s Plan-Dir Growth,500,1000,1.06,258.0,4,Dhaval Shah,2.41,-5.61,14.94,0.84,0.94,Aditya Birla Sun Life Mutual Fund,2,Retirement Funds,0.0,8.95,False,False,False,False,True,False,False,False,True
Aditya Birla SL Retirement-The 40s Plan-Dir Growth,500,1000,1.07,91.0,4,Dhaval Shah,2.34,-3.14,11.86,0.77,0.93,Aditya Birla Sun Life Mutual Fund,2,Retirement Funds,-0.1,7.45,False,False,False,False,True,False,False,False,True
Aditya Birla SL Retirement-The 50s Plan-Dir Growth,500,1000,0.63,27.0,4,Dhaval Shah,0.29,-2.04,2.99,0.34,0.13,Aditya Birla Sun Life Mutual Fund,2,Retirement Funds,3.0,3.8,False,False,True,False,False,False,False,False,True
Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,500,1000,0.85,26.0,4,Dhaval Shah,0.22,0.09,2.19,1.09,0.18,Aditya Birla Sun Life Mutual Fund,1,Retirement Funds,2.9,3.75,False,True,False,False,False,False,False,False,True
Aditya Birla SL Savings Fund,1000,1000,0.34,14457.0,10,Kaustubh Gupta,4.23,2.64,0.76,0.86,1.96,Aditya Birla Sun Life Mutual Fund,4,Ultra Short Duration Funds,5.5,5.933333333333334,False,True,False,False,False,False,False,False,False
Aditya Birla SL Short Term Fund,1000,1000,0.38,5045.0,10,Kaustubh Gupta,3.7,4.91,2.05,1.27,1.57,Aditya Birla Sun Life Mutual Fund,4,Short Duration Funds,5.5,6.966666666666666,False,True,False,False,False,False,False,False,False
Aditya Birla SL Small Cap Fund,1000,1000,1.04,2901.0,10,Vishal Gajwani,3.11,-0.73,19.36,0.89,1.51,Aditya Birla Sun Life Mutual Fund,1,Small Cap Mutual Funds,-2.3,11.566666666666668,False,False,False,False,True,True,False,False,False
Aditya Birla SL Tax Relief ’96 – Direct Growth,500,500,0.93,12755.0,10,Atul Penkar,1.94,-7.68,15.31,0.87,0.83,Aditya Birla Sun Life Mutual Fund,1,ELSS Mutual Funds,-3.0,6.300000000000001,False,False,False,False,True,True,False,False,False
AXIS All Seasons Debt Fund,1000,5000,0.22,161.0,3,R Sivakumar,1.77,1.88,2.06,0.8,1.02,Axis Mutual Fund,4,FoFs Domestic,4.7,5.45,False,False,True,False,False,False,False,True,False
AXIS Arbitrage Fund,1000,500,0.31,3085.0,9,Ashish Naik,1.47,1.41,0.68,0.44,1.21,Axis Mutual Fund,4,Arbitrage Mutual Funds,5.6,5.366666666666667,False,False,False,False,False,False,True,False,False
AXIS Balanced Advantage Fund,1000,500,0.7,2077.0,6,Anupam Tiwari,2.26,-1.23,8.09,0.53,1.05,Axis Mutual Fund,2,Dynamic Asset Allocation or Balanced Advantage,1.2,7.2,False,False,False,False,True,False,True,False,False
AXIS Banking & PSU Debt Fund,1000,5000,0.33,13953.0,10,Aditya Pagaria,2.78,3.83,1.5,1.62,1.11,Axis Mutual Fund,4,Banking and PSU Mutual Funds,4.5,6.033333333333334,False,True,False,False,False,False,False,False,False
AXIS Bluechip Fund,500,500,0.63,33049.0,10,Shreyash Devalkar,1.81,-5.97,15.76,0.89,0.9,Axis Mutual Fund,4,Large Cap Mutual Funds,-6.1,7.766666666666667,False,False,False,False,True,True,False,False,False
AXIS Children’s Gift Fund,1000,5000,1.06,685.0,7,Ashish Naik,2.34,-1.6,12.97,0.86,1.1,Axis Mutual Fund,0,Childrens Funds,-6.5,7.133333333333333,False,False,False,False,True,False,False,False,True
AXIS Corporate Debt Fund,1000,5000,0.22,3783.0,6,Devang Shah,2.88,2.46,2.06,0.67,1.28,Axis Mutual Fund,5,Corporate Bond Mutual Funds,4.9,6.566666666666666,False,True,False,False,False,False,False,False,False
AXIS Credit Risk Fund,1000,5000,0.81,620.0,9,Devang Shah,1.97,3.22,1.62,0.26,1.77,Axis Mutual Fund,4,Credit Risk Funds,5.4,6.533333333333334,False,False,True,False,False,False,False,False,False
AXIS Dynamic Bond Fund,1000,5000,0.26,1733.0,10,R Sivakumar,0.61,1.2,3.83,1.84,0.45,Axis Mutual Fund,2,Dynamic Bond,3.4,5.866666666666667,False,True,False,False,False,False,False,False,False
AXIS Equity Hybrid Fund,1000,500,0.89,1699.0,5,Ashish Naik,2.37,-1.88,13,0.87,1.09,Axis Mutual Fund,2,Aggressive Hybrid Mutual Funds,-4.9,6.249999999999999,False,False,False,False,True,False,True,False,False
AXIS Equity Saver Fund,1000,500,0.88,978.0,8,R Sivakumar,2.39,0.66,7.52,1.16,1.19,Axis Mutual Fund,3,Equity Savings Mutual Funds,1.4,7.633333333333333,False,False,True,False,False,False,True,False,False
AXIS Flexi Cap Fund,500,500,0.7,10077.0,5,Shreyash Devalkar,1.77,-5.98,16.19,0.89,0.92,Axis Mutual Fund,4,Flexi Cap Funds,-8.3,7.3,False,False,False,False,True,True,False,False,False
AXIS Floater Fund,1000,5000,0.16,416.0,2,Aditya Pagaria,-,-,-,-,-,Axis Mutual Fund,2,Floater Mutual Funds,5.8,5.8,True,False,False,False,False,False,False,False,False
AXIS Focused 25 Fund,500,500,0.74,15139.0,10,Jinesh Gopani,1.44,-10.67,18.84,1.04,0.74,Axis Mutual Fund,2,Focused Funds,-14.7,3.0000000000000004,False,False,False,False,True,True,False,False,False
AXIS FTP – Series 104 – 1112Days,0,0,0.13,110.0,4,Devang Shah,7.27,5.29,-,2.36,2.19,Axis Mutual Fund,0,Fixed Maturity Plans,11.2,13.233333333333334,True,False,False,False,False,False,False,False,False
AXIS FTP – Series 109 – 111Days,0,0,0.0,565.0,1,Devang Shah,-,-,-,-,-,Axis Mutual Fund,0,Fixed Maturity Plans,11.2,13.233333333333334,False,True,False,False,False,False,False,False,False
AXIS Gilt Fund,1000,5000,0.39,133.0,10,Devang Shah,1.15,1.09,2.87,0.56,0.6,Axis Mutual Fund,4,Gilt Mutual Funds,4.0,5.933333333333334,False,True,False,False,False,False,False,False,False
AXIS Gold Fund,1000,5000,0.17,290.0,10,Aditya Pagaria,1.07,-0.04,13.9,0.97,0.49,Axis Mutual Fund,4,FoFs Domestic,14.5,13.4,False,False,False,True,False,False,False,True,False
AXIS Growth Opportunities Fund,1000,500,0.59,8053.0,4,Jinesh Gopani,2.64,1.19,17.3,0.91,1.28,Axis Mutual Fund,3,Large & Mid Cap Funds,-6.4,10.05,False,False,False,False,True,True,False,False,False
AXIS Liquid Fund,0,500,0.15,27226.0,10,Devang Shah,4.54,1.41,0.38,0.78,0.96,Axis Mutual Fund,4,Liquid Mutual Funds,5.7,5.133333333333334,True,False,False,False,False,False,False,False,False
AXIS Long Term Equity Fund,500,500,0.85,28754.0,10,Jinesh Gopani,1.45,-9.98,18.65,1.02,0.75,Axis Mutual Fund,2,ELSS Mutual Funds,-11.1,4.666666666666667,False,False,False,False,True,True,False,False,False
AXIS Midcap Fund,500,500,0.57,18920.0,10,Shreyash Devalkar,2.98,-2.25,15.37,0.81,1.4,Axis Mutual Fund,5,Mid Cap Mutual Funds,-2.5,12.833333333333334,False,False,False,False,True,True,False,False,False
AXIS Money Market Fund,1000,5000,0.21,4002.0,4,Devang Shah,4.81,2.81,0.62,1.22,1.91,Axis Mutual Fund,4,Money Market Funds,5.6,5.5,True,False,False,False,False,False,False,False,False
AXIS Nifty 100 Index Fund,1000,500,0.15,953.0,3,Ashish Naik,2.93,-1.76,16.66,0.99,1.24,Axis Mutual Fund,3,Index Funds,-1.7,11.700000000000001,False,False,False,False,True,False,False,True,False
AXIS Overnight Fund,0,500,0.05,12566.0,4,Aditya Pagaria,0.49,0.62,0.35,0.44,0.09,Axis Mutual Fund,4,Overnight Mutual Funds,5.4,4.65,False,False,False,False,False,False,False,False,False
AXIS Regular Saver Fund,1000,500,0.86,407.0,10,Devang Shah,2.42,1.34,4.69,0.71,1.37,Axis Mutual Fund,3,Conservative Hybrid Mutual Funds,1.8,6.566666666666667,False,False,True,False,False,False,True,False,False
AXIS Retirement Savings Fund,1000,5000,0.6,270.0,3,Jinesh Gopani,1.58,-4.95,13.43,0.85,0.79,Axis Mutual Fund,2,Retirement Funds,-1.3,6.1499999999999995,False,False,False,False,True,False,False,False,True
AXIS Retirement Savings Fund,1000,5000,0.41,81.0,3,Jinesh Gopani,1.84,-0.04,5.69,0.83,1.04,Axis Mutual Fund,2,Retirement Funds,-2.5,3.9000000000000004,False,False,False,True,False,False,False,False,True
AXIS Retirement Savings Fund,1000,5000,0.65,633.0,3,Jinesh Gopani,1.56,-4.49,13.03,0.78,0.76,Axis Mutual Fund,1,Retirement Funds,-4.1,4.95,False,False,False,False,True,False,False,False,True
AXIS Short Term Fund,1000,5000,0.3,7096.0,10,Devang Shah,2.78,4.6,1.61,1.78,1.38,Axis Mutual Fund,4,Short Duration Funds,4.9,6.400000000000001,False,True,False,False,False,False,False,False,False
AXIS Small Cap Fund,500,500,0.54,11462.0,9,Anupam Tiwari,3.9,8.34,14.71,0.66,2.06,Axis Mutual Fund,5,Small Cap Mutual Funds,3.4,19.099999999999998,False,False,False,False,True,True,False,False,False
AXIS Strategic Bond Fund,1000,5000,0.39,1644.0,10,Devang Shah,2.27,2.56,1.89,0.7,1.46,Axis Mutual Fund,4,Medium Duration Funds,5.2,6.666666666666667,False,False,True,False,False,False,False,False,False
AXIS Treasury Advantage Fund,1000,5000,0.29,4614.0,10,Devang Shah,3.73,3.09,0.87,1.17,1.75,Axis Mutual Fund,4,Low Duration Funds,5.3,5.933333333333333,True,False,False,False,False,False,False,False,False
AXIS Triple Advantage Fund,1000,500,0.72,1478.0,10,R Sivakumar,2.35,-2.21,13.44,0.91,1.08,Axis Mutual Fund,2,Multi Asset Allocation Mutual Funds,-5.1,7.800000000000001,False,False,False,False,True,False,True,False,False
AXIS Ultra Short Term Fund,1000,5000,0.31,4491.0,5,Aditya Pagaria,4.47,2.29,0.53,0.81,2.25,Axis Mutual Fund,4,Ultra Short Duration Funds,5.7,5.550000000000001,False,True,False,False,False,False,False,False,False
Bandhan Asset Allocation FoF – Moderate – Direct Growth,100,1000,0.42,16.0,10,Sachin Relekar,2.27,0.73,6.59,0.43,1.31,Bandhan Mutual Fund,0,FoFs Domestic,1.3,6.966666666666666,False,False,False,True,False,False,False,True,False
Bandhan FTP – Sr.179,0,5000,0.05,286.0,4,Harshal Joshi,0.9,9.78,3.98,5.4,0.64,Bandhan Mutual Fund,0,Fixed Maturity Plans,4.4,5.300000000000001,False,True,False,False,False,False,False,False,False
Bank of India Arbitrage Fund,1000,5000,0.98,12.0,5,Alok Singh,-1.14,0.24,0.6,0.52,-0.78,Bank of India Mutual Fund,1,Arbitrage Mutual Funds,4.2,3.8,False,False,False,False,False,False,True,False,False
Bank of India Balanced Advantage Fund,1000,5000,2.07,90.0,9,Alok Singh,1.81,-1.05,11.04,0.54,0.81,Bank of India Mutual Fund,2,Dynamic Asset Allocation or Balanced Advantage,13.6,10.266666666666666,False,False,False,False,True,False,True,False,False
Bank of India Conservative Hybrid Fund,1000,10000,2.2,63.0,10,Alok Singh,4.71,6.44,11.85,0.64,0.93,Bank of India Mutual Fund,4,Conservative Hybrid Mutual Funds,22.3,14.733333333333333,False,True,False,False,False,False,True,False,False
Bank of India Credit Risk Fund,0,5000,1.54,161.0,8,Alok Singh,0.91,-13.36,77.72,-31.86,0.38,Bank of India Mutual Fund,5,Credit Risk Funds,130.8,46.50000000000001,False,False,True,False,False,False,False,False,False
Bank of India Large & Mid Cap Equity Fund,1000,5000,1.89,204.0,10,Nitin Gosar,2.66,1.7,15.55,0.88,1.4,Bank of India Mutual Fund,2,Large & Mid Cap Funds,2.7,12.6,False,False,False,False,True,True,False,False,False
Bank of India Liquid Fund,0,5000,0.18,403.0,10,Mithraem Bharucha,4.06,1.38,0.38,0.76,0.92,Bank of India Mutual Fund,4,Liquid Mutual Funds,5.7,5.1000000000000005,True,False,False,False,False,False,False,False,False
Bank of India Manufacturing & Infrastr Fund,1000,5000,1.55,87.0,10,Nitin Gosar,3.23,12.2,16.3,0.54,1.8,Bank of India Mutual Fund,4,Sectoral / Thematic Mutual Funds,7.6,18.166666666666668,False,False,False,False,True,True,False,False,False
Bank of India Mid & Small Cap Equity & Debt Fund,1000,5000,1.92,380.0,7,Alok Singh,2.56,10.87,15.51,0.75,1.59,Bank of India Mutual Fund,4,Aggressive Hybrid Mutual Funds,-0.3,13.133333333333333,False,False,False,False,True,False,True,False,False
Bank of India Midcap Tax Fund,0,500,0.95,51.0,5,Dhruv Bhatia,2.64,3.13,17.03,0.87,1.38,Bank of India Mutual Fund,0,ELSS Mutual Funds,-4.1,11.200000000000001,False,False,False,False,True,True,False,False,False
Bank of India Midcap Tax Fund,0,500,0.56,26.0,4,Dhruv Bhatia,2.65,2.58,16.94,0.87,1.36,Bank of India Mutual Fund,0,ELSS Mutual Funds,-4.7,10.65,False,False,False,False,True,True,False,False,False
Bank of India Overnight Fund,0,5000,0.17,82.0,3,Mithraem Bharucha,1.92,0.76,0.34,0.47,0.39,Bank of India Mutual Fund,5,Overnight Mutual Funds,5.5,4.75,False,False,False,False,False,False,False,False,False
Bank of India Short Term Income – Direct Growth,1000,5000,0.98,72.0,10,Mithraem Bharucha,0.76,3.58,11.44,-0.99,0.43,Bank of India Mutual Fund,5,Short Duration Funds,28.3,13.700000000000001,True,False,False,False,False,False,False,False,False
Bank of India Small Cap Fund,1000,5000,1.52,414.0,4,Dhruv Bhatia,4.16,8.58,18.44,0.81,1.93,Bank of India Mutual Fund,4,Small Cap Mutual Funds,-1.0,23.35,False,False,False,False,True,True,False,False,False
Bank of India Tax Advantage Fund,500,500,1.31,676.0,10,Alok Singh,2.88,3.48,16.3,0.89,1.5,Bank of India Mutual Fund,4,ELSS Mutual Funds,0.9,14.366666666666665,False,False,False,False,True,True,False,False,False
Bank of India Ultra Short Duration Fund,1000,5000,0.36,118.0,10,Mithraem Bharucha,2.16,2.06,0.52,1.12,1.07,Bank of India Mutual Fund,2,Ultra Short Duration Funds,5.2,5.2,False,True,False,False,False,False,False,False,False
Baroda BNP Paribas Aggressive Hybrid Fund,300,5000,0.61,772.0,6,Jitendra Sriram,2.79,1.88,11.77,0.79,1.39,Baroda BNP Paribas Mutual Fund,5,Aggressive Hybrid Mutual Funds,3.5,12.466666666666669,False,False,False,False,True,False,True,False,False
Baroda BNP Paribas Arbitrage Fund,300,5000,0.49,354.0,6,Neeraj Saxena,0.99,1.39,0.71,0.59,0.85,Baroda BNP Paribas Mutual Fund,3,Arbitrage Mutual Funds,5.2,5.133333333333334,False,False,False,False,False,False,True,False,False
Baroda BNP Paribas Balanced Advantage Fund,500,5000,0.64,3123.0,4,Sanjay Chawla,3.41,2.61,10.57,0.7,1.46,Baroda BNP Paribas Mutual Fund,4,Dynamic Asset Allocation or Balanced Advantage,3.7,11.75,False,False,False,False,True,False,True,False,False
Baroda BNP Paribas Banking & PSU Bond Fund,500,5000,0.39,40.0,2,Prashant Pimple,-,-,-,-,-,Baroda BNP Paribas Mutual Fund,2,Banking and PSU Mutual Funds,2.5,2.5,True,False,False,False,False,False,False,False,False
Baroda BNP Paribas Banking&Fin Serv Fund,500,5000,1.63,69.0,10,Miten Vora,1.77,-2.87,22.87,0.89,0.82,Baroda BNP Paribas Mutual Fund,2,Sectoral / Thematic Mutual Funds,6.6,11.633333333333333,False,False,False,False,True,True,False,False,False
Baroda BNP Paribas Conservative Hybrid Fund,300,1000,0.78,501.0,10,Pratish Krishnan,2.74,0.64,3.7,0.58,1.29,Baroda BNP Paribas Mutual Fund,4,Conservative Hybrid Mutual Funds,3.7,6.866666666666666,False,False,True,False,False,False,True,False,False
Baroda BNP Paribas Corporate Bond Fund,300,5000,0.32,17.0,10,Mayank Prakash,0.63,0.69,2.22,0.9,0.43,Baroda BNP Paribas Mutual Fund,2,Corporate Bond Mutual Funds,2.8,4.266666666666667,True,False,False,False,False,False,False,False,False
Baroda BNP Paribas Credit Risk Fund,500,5000,0.78,179.0,8,Prashant Pimple,1.9,1.72,5.8,-3.29,1.06,Baroda BNP Paribas Mutual Fund,5,Credit Risk Funds,5.7,8.066666666666668,False,False,True,False,False,False,False,False,False
Baroda BNP Paribas Dynamic Bond Fund,300,1000,0.71,115.0,10,Mayank Prakash,0.56,0.91,2.65,1.36,0.49,Baroda BNP Paribas Mutual Fund,2,Dynamic Bond,5.2,5.833333333333333,False,True,False,False,False,False,False,False,False
